fixture_id,technique,attack_type,expected_verdict,actual_verdict,status,alert_count,alert_ids,hash
P-DET-01,T1003.001,attack,alert,alert,PASS,2,T1003.001;T1003.001,24be3292
P-DET-02,T1003.001,attack,alert,alert,PASS,2,T1003.001;T1218.011,f0112f3a
P-DET-03,T1059.001,attack,alert,alert,PASS,2,T1059.001;T1059.001,160d6d6b
P-DET-04,T1003.001,attack,alert,alert,PASS,1,T1003.001,3b838380
P-DET-05,T1059.003,attack,alert,alert,PASS,1,T1059.003,75706042
P-DET-06,T1059.003,attack,alert,alert,PASS,1,T1059.003,a0ccc823
P-DET-07,T1059.003,attack,alert,alert,PASS,2,T1059.003;T1059.003,cf283d93
P-DET-08,T1003.001,attack,alert,alert,PASS,1,T1003.001,b3640f5f
P-DET-09,T1059.003,attack,alert,alert,PASS,2,T1059.003;T1059.003,2afdee53
P-DET-10,T1059.003,attack,alert,alert,PASS,1,T1059.003,30a81cb9
P-DET-11,T1059.001,attack,alert,alert,PASS,2,T1059.001;T1059.001,4e42c453
P-DET-12,T1003.001,attack,alert,alert,PASS,1,T1003.001,c3511bb1
P-DET-13,unknown,benign,no_alert,no_alert,PASS,0,,c06c1820
P-DET-14,unknown,benign,no_alert,no_alert,PASS,0,,6b18ac60
P-DET-15,unknown,benign,no_alert,no_alert,PASS,0,,5a4fd2bb
P-DET-16,unknown,benign,no_alert,no_alert,PASS,0,,ccbc1447
P-DET-17,unknown,benign,no_alert,no_alert,PASS,0,,e44b9a16
P-DET-18,unknown,benign,no_alert,no_alert,PASS,0,,9dec1e04
P-DET-19,unknown,benign,no_alert,no_alert,PASS,0,,a821885f
P-DET-20,unknown,benign,no_alert,no_alert,PASS,0,,d3b4af90
P-DET-21,unknown,benign,no_alert,no_alert,PASS,0,,1f646f8b
P-DET-22,unknown,benign,no_alert,no_alert,PASS,0,,fec3a897
P-DET-23,unknown,benign,no_alert,no_alert,PASS,0,,9b5b8dac
P-DET-24,unknown,benign,no_alert,no_alert,PASS,0,,8436acc8
P-DET-25,unknown,benign,no_alert,no_alert,PASS,0,,ce361ba4
P-DET-26,unknown,benign,no_alert,no_alert,PASS,0,,095dabb2
P-DET-27,unknown,benign,no_alert,no_alert,PASS,0,,e0a0347e
P-DET-28,unknown,benign,no_alert,no_alert,PASS,0,,e0e67e59
P-DET-29,unknown,benign,no_alert,no_alert,PASS,0,,1a2a08d3
P-DET-30,unknown,benign,no_alert,no_alert,PASS,0,,5a69297a
P-DET-31,unknown,benign,no_alert,no_alert,PASS,0,,d0da5157
P-DET-32,unknown,benign,no_alert,no_alert,PASS,0,,6c2b7957
P-DET-33,unknown,benign,no_alert,no_alert,PASS,0,,975d2c90
P-DET-34,unknown,benign,no_alert,no_alert,PASS,0,,49704e6d
P-DET-35,unknown,benign,no_alert,no_alert,PASS,0,,26409a17
P-DET-36,unknown,benign,no_alert,no_alert,PASS,0,,1d3356ba
