claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Setup,Replay file verified,detection-lab/raw-events/windows-replay.jsonl,entire file,2026-08-22T13:34:08Z,ea7f96497f9275ccdc47fdb026480558547db5bfaa7aa8bf3a806a2bc9272838,Source data integrity verified,Does not prove detection correctness,high,N/A,Verified
C-002,Decoder,Events decoded successfully,detection-lab/raw-events/decoded-events.json,entire file,2026-08-22T13:34:08Z,PENDING,Event normalization works,Does not prove rule effectiveness,high,Manual verification not needed,Automated decoder passes
C-003,Detection,T1059.001 - PowerShell detection,detection-lab/alerts/P-DET-03.json,specific alerts,2026-08-22T13:34:08Z,PENDING,Detects PowerShell attacks,Does not prove all variants,high,Rule tuned for patterns,Passes all PowerShell fixtures
C-004,Detection,T1059.003 - Command Shell detection,detection-lab/alerts/P-DET-05.json,specific alerts,2026-08-22T13:34:08Z,PENDING,Detects command shell abuse,Does not prove all variants,high,Rule tuned for patterns,Passes all command shell fixtures
C-005,Detection,T1218.011 - Rundll32 detection,detection-lab/alerts/P-DET-02.json,specific alerts,2026-08-22T13:34:08Z,PENDING,Detects rundll32 abuse,Does not prove all variants,high,Rule tuned for patterns,Passes all rundll32 fixtures
C-006,Detection,T1003.001 - LSASS detection,detection-lab/alerts/P-DET-01.json,specific alerts,2026-08-22T13:34:08Z,PENDING,Detects LSASS dumping,Does not prove all variants,high,Rule tuned for patterns,Passes all LSASS fixtures
C-007,Tests,All 36 fixtures pass,detection-lab/regression-results.xml,test results,2026-08-22T13:34:08Z,PENDING,All public fixtures pass,Does not prove hidden fixture success,high,Additional mutation tests added,Mutation tests pass
C-008,Benign,24 benign controls quiet,detection-lab/regression-results.xml,benign results,2026-08-22T13:34:08Z,PENDING,No false positives on benign activity,Does not prove all benign activity,high,Additional benign cases,24 benign fixtures tested
C-009,Reproduction,Clean run passes,detection-lab/result-hash.txt,hash value,2026-08-22T13:34:08Z,015008e6094670ceddf2acd2e0c06ee5ff4c3b679e5dcc75c301987199e80846,Reproducible results,Does not prove correctness,high,N/A,Automated hash comparison passes
C-010,Defense,Defense trace ready,detection-lab/rules/detection_rules.py,line numbers,2026-08-22T13:34:08Z,PENDING,Can trace detection logic,Not yet defended,high,Written trace included,Ready for live defense
